gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G01725	15.1508	18.5504	22.6926	19.5482
AT1G01740	3.43478	3.80125	3.44888	3.29535
AT1G01760	4.04058	5.01923	2.98007	3.14946
AT1G01820	52.1694	89.8179	35.5144	42.2833
AT1G01830	6.83787	8.23394	15.1871	15.8695
AT1G01860,AT1G01880	15.8997	6.52011	15.6107	10.4262
AT1G01890	0	0	0	0
AT1G01910	32.6705	39.7556	35.7491	34.4606
AT1G01930	7.39847	7.91853	8.31761	7.00959
AT1G01960	26.3983	44.069	27.078	24.3393
AT1G01980	0.0285992	0	28.6337	4.21899
AT1G01990	16.6605	16.8355	14.63	16.2417
AT1G02020	8.68484	4.45101	8.62592	7.08443
AT1G02030	0.0866998	0.508185	0.606443	0.116283
AT1G02040,AT1G02050,AT1G02060	7.16347	11.3845	60.4149	5.9311
AT1G02070	0.31986	0.482439	10.2125	2.33156
AT1G02090	23.4355	34.3436	39.7452	35.8891
AT1G02130	41.0431	49.7471	46.3139	42.2363
AT1G02136	0	0	0	0
AT1G02140	81.5136	103.512	125.572	110.491
AT1G02180	3.53819	2.56139	10.1028	9.86574
-	0.226398	0	0.285214	0.0503601
AT1G02210	0	0	0	0
AT1G02220	2.62286	16.6111	1.77387	2.29317
AT1G02228	0	0	0.00653203	0
AT1G02230	0.250577	1.03873	0.516266	0.279624
AT1G02250	0.040938	0.183741	0.175523	0.10372
AT1G02260	11.4209	22.2651	15.7539	18.6706
AT1G02270	14.2899	13.0545	10.6755	17.1015
AT1G02280	87.8087	25.5928	65.9787	50.3956
AT1G02290	6.82317	7.92772	10.3933	6.46575
AT1G02310	0.0659712	1.17317	0.658582	0.279739
AT1G02330	16.132	24.0528	24.5054	17.9491
AT1G02335	9.90166	28.5719	20.8232	16.9283
AT1G02340	16.8285	14.2024	15.3173	4.21975
AT1G02360	0.913726	40.6753	0.0710187	0.0264107
AT1G02391	0	0	0	0
AT1G02405	0.0401146	0.126891	0.304884	1.10721
AT1G02430	0.548591	3.40525	0.890047	0.77057
AT1G02440	0.0260804	0.305783	0.104907	0.0175022
AT1G02450	0.102638	0.0667707	6.61553	3.86462
AT1G02460	0.507633	4.96445	0.794559	0.882283
AT1G02470	2.31257	0.193925	46.6374	1.55953
AT1G02475	88.1413	8.31825	56.0542	72.1621
AT1G02510	0	0	1.7591	0
AT1G02540	0	0	0.0249373	0.00633561
AT1G02590	0	0	0	0
AT1G02610	24.8895	13.9844	6.40761	4.6154
AT1G02620	1.15393	0.280412	0	0.112763
AT1G02630	0.714166	0.20719	3.51956	6.71172
AT1G02660	22.5319	3.96429	16.5295	19.275
AT1G02710	2.11595	0.335737	0.889842	1.16428
AT1G02730	21.2941	15.6786	32.8545	8.47366
AT1G02740	7.76301	8.37323	8.56697	7.74134
AT1G02770	0.278592	0.0989913	2.49967	10.7557
AT1G02780	372.196	624.004	575.737	383.413
AT1G02790	0	0.0213656	471.198	28.7347
AT1G02800	2.16382	0.0192631	26.023	4.52334
AT1G02820	9.62621	0.383234	10.255	5.23315
AT1G02830	0	0	0.273129	0.0728363
AT1G02870	13.3995	31.8654	22.1844	12.541
AT1G02880	0.944929	1.75889	2.14221	1.34204
AT1G02880	11.1153	29.5857	17.0773	12.5792
AT1G02890	24.7692	35.9799	23.818	22.597
AT1G02900	2.59716	112.983	7.31118	1.51671
AT1G02910	41.9394	11.6044	22.0726	22.1188
AT1G02920	44.1342	292.024	0.47555	6.17854
AT1G02930	39.0694	102.378	9.11904	496.446
AT1G02940	0.0872533	0.0332439	1.22367	31.2895
AT1G02950	8.20866	21.7402	8.503	11.7056
AT1G02960	14.2096	14.62	15.4809	13.9896
AT1G02965	0.0124214	0	0.0375023	0.0247663
AT1G02990	7.98153	9.854	7.49201	5.79971
AT1G03000	14.4133	11.1032	11.315	11.4311
AT1G03020	4.49759	0.0534093	0.476083	1.78328
AT1G03040	21.5218	24.2453	34.6527	38.7449
AT1G03055	7.10208	0.238951	4.09756	6.12192
AT1G03060	10.4095	20.2732	11.3679	8.73729
AT1G03080	14.0592	35.6069	29.621	17.7388
AT1G03100	1.18821	2.20857	1.40974	1.03585
AT1G03106	0.0810283	0.874623	0.448173	0.260293
AT1G03130	1236.07	6.80568	319.436	682.228
AT1G03140	35.8498	40.5145	33.6151	26.7203
AT1G03240	0.13287	0.533022	0.462686	0.0879733
AT1G03250	18.6952	15.466	20.4135	18.8215
AT1G03260	6.77168	9.60179	9.56029	9.82486
AT1G03300	3.04486	1.72049	7.86349	5.87464
AT1G03330	28.5149	42.3407	45.2594	34.5833
AT1G03350	18.3268	28.985	29.7326	30.6809
AT1G03390	0.0564407	0.0891484	4.23155	0.0239699
AT1G03400	12.7867	1.79171	5.07712	4.07944
AT1G03410	5.36671	5.03159	6.48886	5.40481
AT1G03445	0.0229642	0.0360229	0.291592	2.29267
