gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
ATCG01190	0	0	0	0
ATCG01200	0	0	0	0
ATCG01210	219.266	18.1834	274.484	239.157
ATCG01220	0	0	0	0
ATCG01270	0.240745	0.0380601	0.157389	0.381244
ATCG01280	0.152474	0.052301	0.181171	0.375852
ATCG00130	4.93521	0.257512	3.12452	4.96327
AT1G01010	2.36246	19.8277	5.56467	1.92917
AT1G01040	10.1305	10.4274	11.5083	9.64623
AT1G01046	5.05594	5.19001	5.37345	3.46496
AT1G01073	0	0	0	0
AT1G01110	2.48166	7.19145	8.02667	1.35715
AT1G01115	0	0	0	0
AT1G01160	22.2917	26.197	35.4146	27.183
AT1G01180	8.4839	11.7263	1.54163	5.50576
AT1G01210	8.15877	10.314	14.2662	8.9107
AT1G01220	10.144	10.6838	11.5169	10.7291
AT1G01225	3.25663	5.31196	6.44957	6.36773
AT1G01230	30.0522	50.9886	29.7288	42.6062
AT1G01240	37.3221	21.525	21.7922	25.8603
AT1G01260	7.6374	10.5012	10.4633	7.55883
AT1G01280	0	0	13.2233	0.0190847
AT1G01290	10.4437	11.4201	16.1199	13.2617
AT1G01300	21.8767	25.8123	63.7341	43.7488
AT1G01305	0.0103558	0.0202325	4.5153	0.58825
AT1G01310	0.0106909	0.0583383	30.2114	3.1313
AT1G01350	12.9707	18.3278	16.3292	14.0227
AT1G01355	0.159331	0.0750387	0.71259	0.433731
AT1G01360	9.83975	21.6146	15.2406	13.0125
AT1G01370	4.41594	6.00495	12.288	6.24505
AT1G01380	1.0968	2.1933	0.863784	0.639852
AT1G01410	0	0	0.0392558	0
AT1G01448	14.3971	14.6104	11.3276	10.2895
AT1G01460	0.0276696	0.018633	12.5807	1.69656
AT1G01471	0	0	0	0
AT1G01480	0.172589	1.93466	1.62921	4.27546
AT1G01500	12.8364	10.5025	13.854	10.6781
AT1G01510	17.3583	23.975	23.9109	19.6038
AT1G01520	2.41524	0.172588	3.7634	0.783947
AT1G01540	34.3465	21.5905	37.5454	23.5593
AT1G01550	118.339	166.704	102.375	90.8676
AT1G01560	0.577638	0.560743	1.70092	0.706264
AT1G01570	1.18314	1.98724	4.22035	1.74544
AT1G01580	0.546485	141.113	3.80261	0.0862652
AT1G01590	0.132412	0.00728953	5.04318	5.19635
AT1G01600	1.88916	2.43463	28.3453	10.9276
AT1G01630	35.1784	32.4173	55.2483	26.6277
AT1G01690	6.02139	7.42315	10.7164	5.39157
AT1G01695	0.167557	0.196828	0.783523	0.794488
AT1G01710	20.2641	18.4254	30.5013	32.7722
AT1G01720	34.0562	33.6704	28.1936	22.1233
AT1G01730	16.7514	32.5013	20.7365	20.4331
AT1G01750	0.820421	33.4873	3.70071	1.27686
AT1G01770,AT1G01780	26.9665	45.5794	48.4665	24.0847
AT1G01790	79.2464	11.9489	40.329	40.199
AT1G01800	41.1967	55.9754	52.847	30.9197
AT1G01810	0.235131	0.499905	1.55051	1.07041
AT1G01840	1.80407	1.03037	3.46121	2.37323
AT1G01870	0	0	0	0
AT1G01900	3.48503	1.91231	6.33168	5.31206
AT1G01920	9.07158	14.9627	17.499	10.5661
AT1G01940	9.26753	15.9879	13.2601	10.3883
AT1G01950	7.57776	10.6367	10.4046	7.71675
AT1G01970	18.9116	4.27731	13.1137	18.4971
AT1G02000	4.80151	7.84477	27.0334	8.85097
AT1G02010	5.87409	3.93102	12.2723	4.48255
AT1G02065	1.10533	0	17.8077	5.67658
AT1G02074	0.171635	0	0.0876832	0.161802
AT1G02080	36.1549	51.1149	47.7441	37.1192
AT1G02100	21.9477	41.7188	22.348	16.4813
AT1G02110	10.9453	9.96579	11.0996	6.31278
AT1G02120	36.8816	48.4983	27.2386	35.688
AT1G02145	16.4417	20.777	20.4159	18.8468
AT1G02150	65.4402	14.2963	35.8003	32.83
AT1G02160	29.7676	31.6598	42.0315	44.4692
AT1G02170	15.3257	23.9137	16.8179	18.8861
AT1G02190	0.155989	0.00266861	98.0003	20.9895
AT1G02205	27.4094	0.579831	455.48	518.861
AT1G02300	23.9035	11.2067	14.042	24.3459
AT1G02305	52.6623	124.059	77.0393	122.411
AT1G02320	0	0.242615	0	0
AT1G02350	19.4804	12.2705	17.1665	25.8602
AT1G02370	3.60473	7.4334	8.75947	3.86246
AT1G02380	2.21506	2.34113	3.81238	1.46508
AT1G02390	1.74178	2.92145	2.31575	1.18238
AT1G02400	2.03837	22.5273	4.27438	2.2021
AT1G02410	17.0897	18.2809	23.5601	19.618
AT1G02420	3.0698	4.03406	4.10688	3.52409
AT1G02480	0	0	0	0
AT1G02490	1.0181	0	0.488038	0
AT1G02500	141.706	359.002	159.511	328.478
AT1G02520	0.292435	16.0218	3.19344	1.2879
AT1G02530	0.0340321	0.292206	2.1397	17.0152
AT1G02550	0	0	0.0896642	0.0979755
AT1G02560	254.553	48.2829	140.332	136.252
AT1G02570	0.00592473	4.8952	0.0554152	2.2722
AT1G02580	0.0259771	0.54542	0.354894	1.18633
AT1G02600	0	0	0	0
AT1G02620	6.319	0.620256	0.402545	0.490956
AT1G02640	18.6612	27.1252	14.1335	57.8445
AT1G02650	1.33538	0.21305	0.611586	0.388241
AT1G02670	1.25198	0.475089	4.24964	2.09529
AT1G02680	9.42907	11.6306	14.8302	11.7105
AT1G02681	0	0.0383794	0.562364	0.081429
AT1G02690	8.82089	22.6282	19.3957	9.23952
AT1G02700	0.424305	0.260399	0.3046	0.629284
AT1G02720	7.39618	9.03038	13.1246	13.0312
