gene_short_name	L_FPKM	R_FPKM	F_FPKM	S_FPKM
AT1G08890	9.44695	36.2637	1.80508	2.47347
AT1G08900,AT1G08910	36.0795	21.5416	17.136	34.6567
AT1G08920	13.4515	28.1175	14.3866	26.7092
AT1G08930	62.1523	157.796	1.41026	3.7709
AT1G08940	3.31927	17.456	2.31597	2.83855
AT1G08950	0	0	0	0
AT1G08960	7.92286	11.4074	11.4548	11.969
AT1G08970	24.881	32.8614	40.8211	49.2081
AT1G08980	58.4353	10.4225	25.5037	41.4941
AT1G08985	0.0174953	0	0	17.4485
AT1G08990	0.0691137	14.8121	0.0334426	0.398742
AT1G09000	1.49854	7.73963	3.03665	2.98952
AT1G09026	0	0	0	0
AT1G09040	1.86742	2.7963	3.29954	2.48514
AT1G09050	2.01582	2.69612	3.45351	2.16265
AT1G09070	141.8	80.568	84.322	129
AT1G09090	0.0698328	19.0726	0.0153337	0.015631
AT1G09110	0	0	0	0
AT1G09150	28.812	39.3084	41.6211	36.6814
AT1G09176	0.0866832	0.597223	0.383138	0.0582128
AT1G09180	1.44073	0.168928	6.1139	4.49395
AT1G09240	6.54765	0.0180004	9.06546	0.900265
AT1G09250	12.7274	19.0888	13.5407	5.38577
AT1G09260	0.0296063	0.195367	1.15773	0.014763
AT1G09270	25.4247	50.4739	32.8289	33.7342
AT1G09300	3.88483	9.16433	6.52054	5.19993
AT1G09310	475.8	4.90505	546.206	994.247
AT1G09340	483.783	4.75238	190.991	323.869
AT1G09350	0.597974	1.25298	0.709542	1.06342
AT1G09360	0	0	0	0.534157
AT1G09370	0.050437	0.0659391	1.37317	82.2974
